,,,,,,,
Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
2013,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"30,830","380,575",0,E
2013,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"32,332","60,588",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"69,551","748,651",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"4,233","29,474",0,E
2013,IMP,GROUNDFISH COD NSPF MEAT FROZEN > 6.8KG,NORWAY,"376,462","511,988",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"208,421","1,382,328",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"2,358,590","15,614,092",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"215,131","1,782,694",0,E
2013,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"42,526","110,060",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,560,"6,479",0,E
2012,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,277,"3,375",0,E
2012,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"18,776","229,474",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"14,449","184,359",0,E
2012,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"111,141","1,428,692",0,E
2012,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"466,337","5,987,333",0,E
2012,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,453,"5,900",0,E
2012,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,572,"3,924",0,E
2012,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,927,"6,233",0,E
2012,IMP,GROUNDFISH COD NSPF FROZEN,NORWAY,"38,981","149,381",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"4,332","41,411",0,E
2012,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"29,446","393,635",0,E
2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"898,521","11,681,037",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"2,269","27,264",0,E
2011,IMP,GROUNDFISH HADDOCK FILLET FRESH,NORWAY,"2,499","23,716",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"3,825","10,787",0,E
2013,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"8,887","57,858",0,E
2013,IMP,GROUNDFISH COD NSPF FROZEN,ICELAND,300,"4,689",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"73,360","371,730",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"3,101","23,575",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"4,700","56,701",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"19,298","164,707",0,E
2014,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,395,"5,351",0,E
2014,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"9,000","132,000",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"10,382","72,758",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,450","18,742",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"51,559","280,309",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"17,695","98,959",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,272,"2,640",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"17,973","115,245",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"411,275","1,426,055",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"103,876","384,342",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,001,914","10,127,594",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"6,175","80,481",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"11,342","142,613",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"479,012","5,838,116",0,E
2016,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"33,126","474,806",0,E
2014,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,"4,428","59,280",0,E
2014,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"184,997","1,788,969",0,E
2014,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"9,510","143,740",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"11,341","147,602",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,470,"8,051",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"24,505","237,168",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"43,264","458,614",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"16,223","222,814",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"10,875","142,905",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"12,500","105,750",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"8,084","87,958",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"13,567","164,774",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"60,706","809,859",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"5,121","32,024",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"746,992","3,395,066",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"18,256","245,526",0,E
2017,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"4,959","27,195",0,E
2017,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"10,738","56,739",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"34,549","429,589",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"98,650","371,267",0,E
2017,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,539,"7,105",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"47,300","370,190",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"6,029","54,259",0,E
2018,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"34,071","456,057",0,E
2018,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"49,507","698,617",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,857","25,716",0,E
2018,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"164,086","2,133,847",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"70,271","939,855",0,E
2018,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"10,385","151,990",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"22,513","156,346",0,E
2018,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"381,832","1,286,409",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"2,108","19,844",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,762,"5,540",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"5,500","78,104",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"1,380","22,497",0,E
2018,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,762,"9,912",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"5,270","64,387",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"854,287","11,755,135",0,E
2021,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"741,629","4,909,493",0,E
2021,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"87,288","808,444",0,E
2019,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"3,199","29,889",0,E
2019,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"3,594","29,454",0,E
2021,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"3,517","70,792",0,E
2021,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"58,185","1,220,153",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,542,"4,469",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"21,308","112,867",0,E
2019,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"10,069","134,985",0,E
2019,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"127,699","1,587,390",0,E
2019,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"46,268","656,540",0,E
2019,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"2,078","23,217",0,E
2019,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,NORWAY,"73,185","865,316",0,E
2020,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"15,847","206,558",0,E
2020,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"9,714","129,965",0,E
2020,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"76,353","686,758",0,E
2020,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,556,"6,276",0,E
2019,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"16,426","269,882",0,E
2020,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"4,816,738","48,482,918",0,E
2020,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"2,499,491","23,849,321",0,E
2019,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,417,"8,107",0,E
2021,IMP,"GROUNDFISH COD,CUSK,HADDOCK,HAKE,POLLOCK SMOKED",ICELAND,709,"14,578",0,E
2020,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,478,"3,157",0,E
2020,IMP,GROUNDFISH HADDOCK FRESH,ICELAND,590,"7,480",0,E
2020,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,571,"3,066",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"32,537","481,263",0,E
2021,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"3,997","67,301",0,E
2021,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,349,"3,076",0,E
2022,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"4,171","102,479",0,E
2022,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"12,060","142,326",0,E
2022,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"155,970","424,013",0,E
2022,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,915,213","26,978,993",0,E
2022,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"202,076","3,135,317",0,E
2023,IMP,GROUNDFISH COD NSPF FROZEN,ICELAND,"8,101","120,197",0,E
2023,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"2,914,838","10,463,447",0,E
2022,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"587,994","9,551,114",0,E
2023,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,291,922","17,962,391",0,E
2023,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,908,179","24,530,253",0,E
2023,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,544,"12,720",0,E
2023,IMP,GROUNDFISH HADDOCK MEAT FRESH,NORWAY,"172,975","2,370,402",0,E
2022,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"3,424","76,270",0,E
2022,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"77,158","990,819",0,E
2023,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"26,082","328,579",0,E
2021,IMP,GROUNDFISH COD NSPF FILLET FRESH,NORWAY,"21,013","126,078",0,E
2022,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"3,560","71,597",0,E
2023,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,605,"4,983",0,E
2022,IMP,GROUNDFISH HADDOCK MEAT FRESH,NORWAY,"4,799","66,103",0,E
2023,IMP,GROUNDFISH HADDOCK MEAT FRESH,NORWAY,"6,757","29,351",0,E
2022,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"25,033","120,927",0,E
2014,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"1,124,231","5,856,216",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"8,398","59,539",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"3,551","24,026",0,E
2014,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"18,125","71,118",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"24,250","214,350",0,E
2015,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"23,785","112,069",0,E
2014,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"1,160","14,901",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"526,654","2,956,000",0,E
2015,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"13,583","177,434",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"1,089,880","8,099,341",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"30,615","238,186",0,E
2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"123,602","1,426,899",0,E
2010,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"13,956","125,235",0,E
2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"583,974","2,640,583",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,NORWAY,"7,938","77,655",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,538,"5,677",0,E
2010,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"2,336","13,223",0,E
2011,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"19,555","111,974",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"2,567","12,742",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"55,682","271,566",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FROZEN,ICELAND,"555,862","4,731,625",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"710,431","7,772,742",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"1,175,001","16,434,580",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"9,518","57,716",0,E
2013,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"200,634","2,658,311",0,E
2013,IMP,GROUNDFISH COD NSPF SALTED MOISTURE CONTENT NOT > 43%,NORWAY,"14,410","74,198",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"8,248","56,349",0,E
2013,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"363,423","1,414,444",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"4,309","52,990",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"488,880","2,818,768",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"17,390","338,338",0,E
2012,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"241,139","775,237",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"989,396","13,505,867",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"76,252","1,015,092",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"2,158,424","16,657,256",0,E
2012,IMP,GROUNDFISH HADDOCK MEAT FROZEN > 6.8KG,ICELAND,"25,955","215,202",0,E
2012,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"54,574","700,292",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"67,235","1,518,495",0,E
2012,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"149,641","2,431,697",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"4,330","56,990",0,E
2012,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"4,221","33,170",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"27,588","140,690",0,E
2012,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,998,"12,540",0,E
2013,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"94,602","177,976",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"1,428,259","18,017,596",0,E
2015,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,"30,193","178,474",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"23,142","340,616",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,NORWAY,"104,589","944,163",0,E
2015,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"11,556","169,435",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"549,875","2,963,300",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"4,686","24,960",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"6,209","37,530",0,E
2016,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"223,730","2,285,595",0,E
2016,IMP,GROUNDFISH COD NSPF MINCED FROZEN > 6.8KG,ICELAND,"173,631","341,650",0,E
2016,IMP,GROUNDFISH HADDOCK FROZEN,NORWAY,"5,934,575","15,983,444",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"360,453","1,586,420",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"3,781,923","32,342,934",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"12,866","150,023",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"159,172","1,909,316",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"896,586","12,497,461",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"7,177","102,914",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"129,454","1,638,896",0,E
2014,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"3,341","29,568",0,E
2015,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,609,"8,506",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,325,"4,334",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"7,267","96,771",0,E
2015,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"66,717","274,369",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"51,893","333,945",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,454,"5,500",0,E
2016,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,572,"8,215",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"148,026","2,437,513",0,E
2014,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,227,"3,200",0,E
2016,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,181,"2,300",0,E
2016,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,907,"12,840",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"4,342","47,981",0,E
2016,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"60,905","225,350",0,E
2017,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,"4,898","42,172",0,E
2016,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"7,275","21,826",0,E
2016,IMP,GROUNDFISH COD NSPF FRESH,NORWAY,655,"5,915",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"142,500","1,604,525",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"33,951","411,802",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"20,137","275,526",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"26,449","351,370",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"17,902","85,035",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"5,099","30,250",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"1,533","18,459",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,NORWAY,"2,965","15,085",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"28,035","381,252",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,220","10,614",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"1,790","19,347",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"8,100","142,200",0,E
2017,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,598,"11,700",0,E
2017,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,630,"7,595",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"7,513","75,834",0,E
2017,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE,ICELAND,480,"5,275",0,E
2017,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"2,599","39,114",0,E
2017,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"62,497","193,116",0,E
2017,IMP,GROUNDFISH COD ATLANTIC FRESH,ICELAND,"1,335","14,208",0,E
2018,IMP,GROUNDFISH COD NSPF FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"420,877","2,754,144",0,E
2018,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"4,304,100","39,603,404",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"153,767","2,030,837",0,E
2018,IMP,GROUNDFISH COD NSPF MEAT FRESH,ICELAND,"3,800","54,598",0,E
2017,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,317,"3,710",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"964,179","11,349,324",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"43,606","553,246",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"129,535","1,422,986",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,NORWAY,"55,418","174,525",0,E
2018,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"54,190","770,581",0,E
2018,IMP,GROUNDFISH HADDOCK FILLET FRESH,NORWAY,"3,440","49,553",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"13,659","201,708",0,E
2018,IMP,GROUNDFISH HADDOCK FROZEN,ICELAND,"61,045","220,153",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,NORWAY,"160,060","2,013,908",0,E
2018,IMP,GROUNDFISH COD ATLANTIC MEAT FRESH,ICELAND,"20,416","190,248",0,E
2018,IMP,GROUNDFISH HADDOCK MEAT FRESH,ICELAND,"1,699","22,677",0,E
